FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
1013130.0,638683.0,2013000.0,1904340.0,4738,1757,804,318,459451.0,373516.0,142079.0,104264.0,128.4,2,Nano1
883417.0,998790.0,1612850.0,2113710.0,3742,2622,248,348,421757.0,348403.0,191752.0,161412.0,131.7,2,Nano1
537245.0,645956.0,56411.0,76184.0,1152,726,493,175,895674.0,665230.0,292564.0,241400.0,132.9,2,Nano1
461536.0,539661.0,108065.0,152140.0,2570,1914,0,306,1193880.0,967867.0,492405.0,438838.0,136.1,2,Nano1
461837.0,611854.0,28153.0,38045.0,852,667,194,109,763468.0,611156.0,226119.0,202350.0,136.8,2,Nano1
399918.0,491020.0,86579.0,127799.0,2235,1421,348,319,892173.0,701343.0,310042.0,243708.0,137.3,2,Nano1
422185.0,530048.0,143526.0,202744.0,1588,1866,2092,1931,267024.0,207883.0,130335.0,101296.0,137.8,2,Nano1
417070.0,493508.0,47409.0,67197.0,1899,1533,358,250,998905.0,795164.0,321677.0,278791.0,138.9,2,Nano1
1460370.0,1644940.0,134744.0,180402.0,5402,4111,1293,612,2326650.0,1632560.0,900503.0,692884.0,138.9,2,Nano1
2858210.0,2048050.0,6468760.0,4220350.0,11185,3762,3049,1116,613036.0,337011.0,448760.0,236448.0,139.6,2,Nano1
583551.0,749788.0,87746.0,135273.0,1235,1042,582,220,935981.0,758620.0,326663.0,302156.0,139.7,2,Nano1
564878.0,706446.0,63045.0,87561.0,2062,1389,1031,332,967386.0,752282.0,377536.0,277735.0,140.1,2,Nano1
730173.0,855877.0,138978.0,211655.0,2883,2377,739,487,1399640.0,1068940.0,550738.0,439728.0,142.9,2,Nano1
352004.0,439891.0,29510.0,37919.0,1535,1195,447,230,775064.0,623280.0,235911.0,204408.0,145.2,2,Nano1
421932.0,533215.0,41044.0,55932.0,1749,1121,128,118,679221.0,528939.0,249297.0,198487.0,145.3,2,Nano1
510941.0,559716.0,42216.0,47709.0,2216,1571,0,199,656981.0,410006.0,349431.0,225745.0,146.0,2,Nano1
482593.0,598684.0,55738.0,81115.0,2815,1990,351,185,613459.0,489035.0,269009.0,219072.0,146.1,2,Nano1
520585.0,665397.0,91512.0,139939.0,1786,1524,314,187,732234.0,583400.0,268156.0,230251.0,146.6,2,Nano1
478017.0,651990.0,83556.0,124413.0,1126,610,0,79,613564.0,497777.0,251641.0,215516.0,146.8,2,Nano1
478291.0,596350.0,59372.0,89829.0,1562,1095,441,145,895998.0,701471.0,295110.0,257385.0,147.0,2,Nano1
508902.0,593549.0,39116.0,53964.0,1688,1297,712,456,1044880.0,802878.0,408458.0,343031.0,147.6,2,Nano1
467327.0,620367.0,39341.0,52985.0,1308,1041,550,157,611699.0,472832.0,251710.0,196202.0,148.4,2,Nano1
1054620.0,1112210.0,91167.0,95010.0,3545,2818,591,456,2255120.0,1629840.0,1005570.0,741688.0,150.9,2,Nano1
878424.0,892209.0,679590.0,869471.0,3887,2474,727,450,723637.0,329640.0,258672.0,126269.0,151.4,2,Nano1
471827.0,556490.0,88067.0,130346.0,1438,1504,133,230,1005690.0,816435.0,354596.0,291556.0,153.9,2,Nano1
1011580.0,1030660.0,86363.0,114697.0,7008,5046,646,428,2252720.0,1478920.0,1016410.0,671717.0,158.3,2,Nano1
572617.0,755955.0,131034.0,183750.0,2423,1991,680,285,454918.0,369208.0,236185.0,176042.0,158.9,2,Nano1
