FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
309972.0,443961.0,41928.0,63041.0,11690,11510,23784,24019,68763.0,62023.0,47803.0,38615.0,144.4,0,56683.38625962523,8839.675598732047
55177.0,87758.0,14901.0,25288.0,325,152,0,37,80763.0,71414.0,48976.0,55309.0,144.4,0,-45231.2832778482,-30063.37631528627
23341.0,36650.0,1828.0,4550.0,496,282,323,237,37290.0,34557.0,21528.0,24906.0,144.4,0,-102377.46819521335,374.4213860907839
2545.0,7373.0,1143.0,3309.0,2688,4445,3114,6071,8464.0,14252.0,1181.0,2308.0,144.4,0,-136133.75963188676,27547.732581895507
25054.0,33450.0,2993.0,4201.0,14324,13822,17743,17979,40635.0,39841.0,7505.0,5981.0,144.5,0,-108416.49337604974,9970.438272883508
7415.0,20058.0,1539.0,4384.0,3288,3448,4356,4995,12056.0,13819.0,778.0,1544.0,144.5,0,-132720.16380337515,26580.321014155565
121526.0,179656.0,7592.0,10794.0,644,225,280,113,162955.0,134954.0,54607.0,45710.0,144.5,0,13091.811160772311,-74158.60832695045
450252.0,652582.0,21233.0,32619.0,1075,988,7340,6946,172368.0,156230.0,196766.0,160166.0,144.5,0,225126.21632734477,-147033.020249369
35721.0,63262.0,9219.0,15476.0,629,385,222,135,46146.0,40856.0,42961.0,30220.0,144.6,0,-78873.52979050824,-10104.596069982015
10617.0,20895.0,2696.0,6525.0,4620,4820,6193,6725,16941.0,17568.0,1879.0,3220.0,144.6,0,-127763.9851674219,24232.303996343217
18765.0,36777.0,2173.0,5851.0,3295,3429,7580,7764,20054.0,19556.0,7052.0,6267.0,144.6,0,-121011.73335620313,19541.88813658612
6862.0,16401.0,2337.0,4107.0,4209,4782,5777,7230,17743.0,21701.0,3048.0,4690.0,144.6,0,-128260.7281633167,22580.56817573797
1578.0,6099.0,2097.0,7503.0,1010,2335,1722,3649,4500.0,9491.0,1187.0,1929.0,144.6,0,-137759.42178566247,30193.94776337105
1047.0,4669.0,501.0,4965.0,580,1776,902,2737,1800.0,6098.0,402.0,578.0,144.6,0,-140829.61417602265,31053.397316892813
13443.0,18038.0,2808.0,5262.0,3811,3829,5925,6074,17048.0,16971.0,4749.0,5588.0,144.8,0,-125009.78609384628,22517.594119358248
1185020.0,1431150.0,166234.0,241637.0,3215,2403,31225,29190,163915.0,135995.0,123151.0,96860.0,144.8,0,543568.1007433677,35985.26573238478
21684.0,43631.0,2842.0,4858.0,6238,5833,9542,9791,26589.0,25073.0,4873.0,5980.0,144.9,0,-117423.0637441306,18020.141707385468
1998.0,10216.0,957.0,3475.0,617,1851,1270,3674,2707.0,7446.0,1953.0,3241.0,144.9,0,-138663.09427971923,29703.986437384025
