"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
101967,151342,13981,19035,0,125,1,130,74276,68872,75721,63894,2597.1
8606,23174,1505,3891,2260,2618,2998,4347,8177,11588,2590,3654,2597.1
31057,57755,15337,27890,302,214,111,144,40101,41145,15968,31913,2597.2
10246,23897,1400,3304,3448,3827,5083,5754,15339,17194,2880,4155,2597.2
9112,14443,2617,3753,2527,2581,3362,3669,10482,10847,2295,2684,2597.3
8333,17898,2030,4600,1294,1400,2907,3386,6531,7797,2132,2693,2597.4
37241,57285,7137,9737,3677,3645,9315,9146,24148,24395,6860,7497,2597.5
5450,19783,1697,4721,2793,3563,3059,3660,8228,10368,1894,2359,2597.5
2249,13969,351,1431,650,2049,648,2041,1581,5349,1404,2408,2597.5
21497,25069,3542,3829,5141,4802,5173,5033,11701,11089,2531,1780,2597.6
20066,21255,1308,3294,2908,2339,3516,3619,11278,11181,4588,3759,2597.6
16606,25805,3283,4559,6742,6849,9103,9078,21781,22916,4487,4600,2597.6
6544,17707,3584,8348,1997,2125,2508,2890,6397,7570,399,2074,2597.6
6797,17270,2046,4461,3062,2893,3819,4019,10505,11359,3031,2742,2597.7
16159,30635,2904,4981,2086,1997,4319,4576,12152,13939,1921,4569,2597.7
100672,137108,5834,8019,107,132,87,89,48885,45118,45551,39570,2597.7
10329,19816,2540,3377,4447,4317,5707,5951,15031,15132,2909,3360,2597.7
5303,11756,2540,3675,1794,1801,2426,2449,8354,8371,1343,2303,2597.8
16268,26289,2487,4333,2470,2764,3728,3976,11448,12106,2987,3350,2597.8
3345,6415,120,1184,309,198,317,264,14487,18730,23399,16872,2597.9
914402,1.07235e+06,80762,108964,5926,4908,717,411,1.86302e+06,1.38931e+06,845906,606155,2597.9
5308,17941,1167,4319,1876,2388,2879,4005,8578,10922,314,2520,2597.9
42567,64589,8696,13184,0,0,40,31,50475,50545,31940,40477,2597.9
35894,60373,5492,7836,261,292,114,91,31644,31237,21584,22057,2597.9
9590,26221,1888,4855,5689,6391,6564,7335,15556,17224,595,1952,2597.9
6360,20133,2301,6643,2103,2638,2530,3158,7110,8805,1407,1501,2598
54499,77845,2823,5373,112,174,239,153,57845,54896,48256,44355,2598.1
4434,16392,1632,4357,1275,2618,1666,3584,4206,9436,1372,1516,2598.1
2077,13351,485,4059,1247,2831,1516,3633,4229,10159,0,0,2598.1
10042,23026,2628,6030,8045,10014,10049,12563,23330,27697,4585,4643,2598.1
62918,97480,20336,34234,491,365,316,112,49048,47270,45533,39282,2598.1
52386,85482,35537,59488,645,357,181,122,55241,54014,40131,33996,2598.1
4951,12747,1647,2611,1241,1333,1791,1960,4678,5015,1939,1841,2598.2
10078,22071,1819,2871,3297,3643,4255,4776,12365,13707,2456,2991,2598.2
44381,59143,17143,27570,438,176,319,151,44963,45250,24412,29057,2598.2
43767,62537,20758,32673,1544,1456,3831,3570,12349,12455,7540,5309,2598.3
2459,5252,4641,8738,1344,1615,2907,3400,7793,9048,1062,2971,2598.3
6485,14998,992,2072,2733,2933,3838,4389,10786,12173,2069,2428,2598.3
21423,25772,3566,5000,3167,2942,4245,4454,14747,14356,4685,3943,2598.3
7361,12333,938,2859,3108,3288,4612,4917,12368,13817,793,3099,2598.4
230336,363672,16204,25804,263,228,538,190,229294,201642,102160,95387,2598.4
13213,19710,2056,4492,4139,4384,5953,6354,15990,17188,4288,4145,2598.4
963,6105,214,1072,1583,2885,2231,4208,4894,9545,0,1232,2598.4
6698,17600,1392,3474,1359,1405,3686,4076,10017,10886,2605,3669,2598.4
23556,41428,5504,9793,308,231,24,24,30524,31171,14143,22406,2598.5
759,4340,767,2671,1378,2171,1684,2696,4132,6567,0,0,2598.5
4516,12564,1047,3517,3170,3978,4518,5579,10285,12843,874,1601,2598.5
1945,11847,921,3615,1571,3054,1987,3927,5503,10480,196,708,2598.6
