FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
3892.0,13430.0,1936.0,5818.0,877,1110,2301,3125,7039.0,9564.0,1831.0,3765.0,33.1,0,-115295.90991466408,14456.343993551436,1293.6519415404266
1123.0,6315.0,219.0,1345.0,931,2728,1173,3193,5632.0,15357.0,1952.0,4899.0,33.4,0,-118006.4189172885,13936.956495293294,1846.896614465437
1439.0,9272.0,140.0,885.0,351,850,437,1197,1816.0,4856.0,83.0,0.0,33.4,0,-120919.00723339496,16723.719748992084,-1005.7876333614128
727.0,2011.0,343.0,2034.0,52,0,77,0,8261.0,10713.0,2842.0,3566.0,33.4,-1,-116726.54327739548,12942.29491499397,3917.136926976796
2444.0,8311.0,0.0,0.0,0,19,89,57,9748.0,9544.0,817.0,1738.0,33.4,0,-116674.392589112,13543.923606425196,4531.222582015844
959429.0,1091120.0,176882.0,226231.0,23436,17792,2257,1852,1153500.0,842950.0,550411.0,390108.0,33.4,0,1148473.217950184,-750467.2085254813,228402.9754459021
58709.0,84509.0,24096.0,37201.0,780,233,163,95,65065.0,61697.0,56666.0,52445.0,33.4,0,-25283.7964553058,-37305.27895839521,3225.511250125619
61485.0,80413.0,19573.0,32244.0,264,299,0,25,35478.0,33650.0,18836.0,28084.0,33.5,0,-58416.62099102476,-4997.115493309986,-13192.64135449763
12243.0,22897.0,11821.0,20867.0,2522,2899,4182,4262,11545.0,12755.0,1644.0,2114.0,33.6,0,-103478.11128027298,18779.46266469172,-353.75230521833464
20367.0,32825.0,12280.0,21191.0,258,221,11,0,22449.0,21901.0,11988.0,14610.0,33.8,-1,-89608.92892999054,6519.8559915342685,1585.6502773561772
13149.0,17641.0,777.0,3099.0,2287,2650,3498,3942,10124.0,11143.0,2047.0,1574.0,33.9,0,-111254.67381516706,11370.645410670808,-1723.8219594708244
51095.0,64265.0,37662.0,58367.0,136,177,128,77,56148.0,53477.0,42976.0,39639.0,34.3,0,-29852.94941667546,-13935.369417801798,3014.230673877584
374244.0,488073.0,144791.0,212424.0,2071,1220,172,244,201061.0,170145.0,116800.0,82467.0,34.3,0,269264.5652326445,-88403.51335382409,-88090.05629918526
9521.0,11109.0,1517.0,4402.0,2317,2858,2831,3164,8314.0,9639.0,725.0,1828.0,34.3,0,-113473.0963502872,13807.612120094633,-764.3762113345193
22946.0,28522.0,5420.0,9329.0,0,94,250,148,16423.0,16052.0,14699.0,14404.0,34.3,0,-94862.30000411978,1450.7159766111015,-5039.3709305998
7246.0,13656.0,1172.0,2155.0,3932,3979,5036,4710,12754.0,12696.0,1901.0,2204.0,34.9,0,-112132.09769149692,11839.887354517592,3690.577952829075
2908.0,8861.0,590.0,3702.0,1031,2744,1403,3860,3706.0,9275.0,25.0,330.0,34.9,0,-119187.4539536605,16232.742219926433,-386.7369909791121
8012.0,13486.0,2288.0,2946.0,3291,3899,4502,5488,13313.0,15788.0,144.0,952.0,35.0,0,-111683.65045113278,13615.226924504686,4054.765929409696
207506.0,302741.0,73804.0,109742.0,487,450,288,176,134266.0,119374.0,72442.0,70134.0,35.1,0,106092.92153373286,-59962.03526056612,-32522.62926088348
7212.0,10258.0,756.0,2199.0,381,950,760,1485,2149.0,4441.0,1564.0,1578.0,35.3,0,-117294.3735388959,14950.022527519022,-4373.8848925246975
1008.0,6090.0,113.0,1961.0,942,1656,1381,2538,4047.0,7903.0,624.0,1341.0,35.3,0,-119757.34706688343,15617.33699876574,876.1455798798227
417715.0,536230.0,93222.0,135229.0,1976,1743,1100,395,594356.0,476762.0,220850.0,207295.0,35.3,0,478654.2935197588,-324136.41278918914,176060.97683730078
8120.0,15816.0,3282.0,4558.0,4182,4306,5764,5902,14831.0,15384.0,1426.0,4448.0,35.4,0,-109368.24935936052,12568.23838280233,4915.795888446962
7884.0,9794.0,1740.0,3090.0,2738,2474,3940,4153,14672.0,13329.0,2646.0,4137.0,35.5,0,-110144.00634492016,10891.68804020479,4740.2883689287455
6754.0,21653.0,0.0,1653.0,1507,2422,1892,3375,5443.0,9904.0,1027.0,1199.0,35.5,0,-116812.80101750042,13946.706139478863,-1437.1654352950266
208114.0,292300.0,54013.0,83037.0,619,598,661,204,270499.0,232101.0,111771.0,92159.0,35.5,0,170575.88027965772,-140157.8993723506,65871.86331196573
4123.0,9552.0,875.0,2975.0,1550,3696,2088,5307,11859.0,24487.0,7076.0,7205.0,35.5,0,-111299.91595439803,8512.44025338277,3819.8199144756018
810.0,3816.0,0.0,1402.0,955,3500,1132,4148,4256.0,15941.0,322.0,672.0,35.5,0,-120021.17591829166,15790.787420333863,1209.2651784516468
