FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
1700.0,10381.0,0.0,99.0,1308.0,2826.0,1448,3149,3630.0,7356.0,383.0,916.0,22.1,Syn,6
6960.0,15466.0,3209.0,5538.0,2051.0,1929.0,3305,3396,9729.0,9966.0,1894.0,1890.0,22.2,Syn,6
8256.0,28044.0,1920.0,3770.0,0.0,0.0,86,70,14092.0,16767.0,9518.0,14040.0,22.2,PEuk1,4
5268.0,16397.0,1280.0,4642.0,3152.0,3435.0,4199,5186,10159.0,12153.0,668.0,1125.0,22.2,Syn,6
1981.0,10569.0,0.0,319.0,595.0,1454.0,800,2317,2269.0,6204.0,1091.0,1647.0,22.2,Syn,6
873.0,3912.0,629.0,2889.0,116.0,395.0,638,1370,1880.0,4236.0,1026.0,1836.0,22.2,Syn,6
10050.0,15973.0,1266.0,2020.0,3282.0,3625.0,4861,4790,14177.0,13976.0,3098.0,2561.0,22.2,Syn,6
35950.0,63755.0,11264.0,19844.0,64.0,86.0,253,128,33013.0,32608.0,17285.0,28281.0,22.2,PEuk1,4
39996.0,55852.0,5774.0,9916.0,251.0,176.0,0,36,31678.0,29580.0,19562.0,26167.0,22.3,PEuk1,4
4931.0,8222.0,1441.0,3638.0,2301.0,2618.0,3248,3593,9925.0,10172.0,1356.0,2387.0,22.3,Syn,6
6443.0,15213.0,1702.0,5060.0,4266.0,4499.0,5437,5938,13478.0,14479.0,1728.0,1855.0,22.3,Syn,6
3063.0,9110.0,1943.0,4538.0,3751.0,4180.0,4659,5531,10951.0,13061.0,354.0,1889.0,22.4,Syn,6
1029.0,5397.0,3530.0,11757.0,1344.0,1884.0,1660,2622,4469.0,7074.0,530.0,824.0,22.4,Syn,6
15456.0,28101.0,2935.0,5261.0,294.0,170.0,0,4,40838.0,37737.0,23392.0,21460.0,22.5,PEuk1,4
473.0,2644.0,2113.0,7959.0,826.0,1681.0,1245,2461,3368.0,8006.0,352.0,773.0,22.5,Syn,6
4179.0,14113.0,1488.0,2970.0,3464.0,4099.0,4451,5460,12578.0,14817.0,772.0,2270.0,22.6,Syn,6
54113.0,94964.0,3685.0,6723.0,834.0,445.0,282,148,56475.0,51526.0,40738.0,39711.0,22.7,PEuk1,4
3837.0,11232.0,825.0,2493.0,1794.0,1965.0,2467,2937,7972.0,8814.0,462.0,2595.0,22.7,Syn,6
26809.0,40095.0,19930.0,32034.0,0.0,94.0,42,32,30774.0,28021.0,23334.0,19675.0,22.7,PEuk1,4
1698.0,10045.0,312.0,1655.0,180.0,112.0,283,258,2436.0,4540.0,2324.0,4049.0,22.7,PEuk1,4
1391.0,4874.0,123.0,972.0,154.0,82.0,229,136,8751.0,10847.0,4250.0,5003.0,22.7,PEuk1,4
3422.0,8363.0,267.0,1810.0,225.0,209.0,225,234,4549.0,6377.0,2128.0,1596.0,22.7,PEuk1,4
610104.0,697045.0,129977.0,174952.0,3228.0,2851.0,1278,499,1146620.0,871098.0,433072.0,305449.0,22.7,Nano1,2
5842.0,15961.0,2907.0,5964.0,1963.0,2125.0,3397,3760,10072.0,11640.0,2105.0,4185.0,22.7,Syn,6
12818.0,31504.0,1719.0,2740.0,9360.0,10706.0,13176,14227,32926.0,34051.0,4779.0,5408.0,22.8,Syn,6
399894.0,539964.0,44420.0,61780.0,6806.0,6118.0,3217,3295,288236.0,240691.0,100083.0,82675.0,22.8,Crypto,1
4273.0,9535.0,4015.0,6917.0,4028.0,4481.0,5631,6052,15891.0,16438.0,2722.0,2353.0,22.9,Syn,6
647.0,3291.0,231.0,1136.0,182.0,315.0,302,616,2170.0,5995.0,3426.0,7275.0,22.9,Syn,6
2880.0,8761.0,873.0,3298.0,4547.0,5924.0,5241,6789,15323.0,20286.0,1625.0,2543.0,22.9,Syn,6
14245.0,28161.0,5958.0,11157.0,191.0,173.0,103,94,24572.0,23464.0,19682.0,19144.0,22.9,PEuk1,4
