FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
12682.0,21548.0,3841.0,6512.0,6311,6429,8098,8658,23679.0,23549.0,5231.0,4179.0,34.8,1,-0.2979784596159208,1.3207047156782843,-0.0354269813236432
1338.0,7955.0,451.0,2000.0,2978,8281,3809,10387,7573.0,17959.0,1213.0,2653.0,35.1,-1,-0.4794293444017002,1.014575529026926,-0.0668471783798432
2352.0,6301.0,0.0,13.0,1441,4975,1467,5052,2671.0,8066.0,364.0,547.0,35.1,1,-0.6096422154725877,-0.084800429422765,0.0146210489510675
1998.0,13419.0,357.0,2112.0,729,1852,782,2358,2287.0,6467.0,703.0,1182.0,35.2,1,-0.6616204400051292,-0.771556283107377,0.0466340596787905
1834.0,5773.0,837.0,1838.0,1136,2332,1314,3205,4139.0,8812.0,0.0,160.0,35.2,1,-0.6479639437788841,-0.5719464366091338,0.0323777472206942
4940.0,11949.0,1369.0,3960.0,12383,13736,16878,18589,22827.0,21685.0,3832.0,5936.0,35.6,-1,0.019938992668655,4.162653055957769,-0.1540858561628413
2757.0,13034.0,10.0,138.0,59,0,203,84,19683.0,30134.0,4563.0,6650.0,35.9,0,-0.6468914544285139,-1.2774193701901233,0.0136921170130132
4008.0,10238.0,0.0,193.0,257,124,117,40,26265.0,28379.0,4063.0,4289.0,35.9,0,-0.6457738403521662,-1.2490971634032129,0.0212051015646142
1689.0,7181.0,331.0,1239.0,13,0,235,179,8876.0,11264.0,62397.0,141905.0,35.9,-1,-0.3271621884257455,-1.3319934720530209,-0.2652991182176198
486463.0,474454.0,77171.0,100602.0,6039,5320,790,723,3411540.0,2346350.0,1430900.0,1065130.0,35.9,-1,10.267809711412436,-1.587022554134243,-7.38191909619654
3332.0,10777.0,1847.0,4105.0,2941,3182,3475,3998,10115.0,11201.0,430.0,1187.0,36.4,1,-0.5429970331117985,-0.0731632327412587,0.0298781995320907
2142.0,8385.0,1287.0,3282.0,928,1296,1112,1765,5099.0,8247.0,945.0,1245.0,36.5,1,-0.659867201077003,-0.8357401544287653,0.0486965664044827
178565.0,267264.0,33100.0,50572.0,423,323,282,91,21915.0,21947.0,25408.0,20614.0,36.6,-1,-0.0190033340136989,-1.2524375421243477,0.2685152306451068
1414.0,5436.0,12.0,716.0,758,2056,1148,2940,1794.0,4198.0,2838.0,4763.0,36.8,1,-0.6624215360847002,-0.6770444727285075,0.024170095351622
1421.0,6654.0,739.0,3205.0,10250,18280,11606,20980,9856.0,16191.0,7.0,2477.0,36.8,-1,-0.0755227533406772,4.282270592173355,-0.141416575373043
132239.0,203319.0,20236.0,31206.0,299,196,1,46,227729.0,192214.0,61158.0,72912.0,36.9,-1,0.3662507699893778,-1.3811687767601697,-0.2751235150595527
5098.0,14769.0,2624.0,4386.0,5583,5599,7392,7939,24950.0,24733.0,4980.0,5691.0,37.4,1,-0.3491504712880746,1.0441956603422928,-0.0476043917700579
11279.0,12651.0,2140.0,3091.0,12931,12288,20010,19241,36938.0,30694.0,10866.0,8199.0,37.7,-1,0.0826871125527533,4.307832017375,-0.2167512206581047
20366.0,32176.0,1596.0,2898.0,11056,11613,14990,15237,35859.0,34949.0,7335.0,6988.0,38.0,-1,0.016195922453223,3.386379653603654,-0.1277073514365631
709534.0,783930.0,147081.0,202539.0,5015,4536,94128,78656,392016.0,309381.0,299206.0,194467.0,38.2,-1,3.410536489623118,11.520273408345686,-2.171803235728104
300791.0,393572.0,27353.0,37760.0,1305,1017,263,209,482881.0,398962.0,220076.0,177473.0,38.5,-1,1.7133109841697334,-1.3292674858989502,-0.8068136862921806
915.0,5327.0,199.0,2072.0,447,1147,689,2143,1844.0,4691.0,1286.0,2838.0,38.9,1,-0.6904197417017143,-0.9056274231342832,0.0380265056880413
2127.0,5675.0,90.0,1669.0,1114,2942,1510,3364,3198.0,9290.0,433.0,852.0,38.9,1,-0.6399749593571462,-0.478787579119493,0.0260136158848503
1971.0,11027.0,353.0,1533.0,2027,3747,2399,4275,7838.0,13851.0,136.0,280.0,38.9,1,-0.5783186206348734,-0.1600342763641628,0.0181625259383414
670.0,3820.0,56.0,736.0,916,2783,878,2974,3689.0,10487.0,177.0,255.0,38.9,1,-0.6560855334845386,-0.5900830736161158,0.0317055098948165
7049.0,15002.0,1081.0,1749.0,3704,4129,5077,5671,15567.0,17130.0,1950.0,3335.0,39.2,1,-0.4701223514207486,0.3479569229505447,-0.0091752220704084
1955.0,11589.0,569.0,3659.0,1106,2009,1423,2368,4925.0,8774.0,399.0,624.0,39.3,1,-0.6415362961075585,-0.668141436945435,0.0437782291808283
1297.0,5666.0,877.0,3059.0,1012,2432,1396,3086,4883.0,10388.0,1728.0,2602.0,39.4,1,-0.6412233624453247,-0.5788084344374221,0.0229174061870892
4309.0,10135.0,719.0,1861.0,3126,3695,4265,4477,13917.0,14693.0,740.0,1470.0,40.0,1,-0.5200445570265749,0.0940963887256918,0.0087076268325963
2265.0,14283.0,518.0,2210.0,3005,6496,3134,6664,7397.0,15415.0,785.0,1932.0,40.2,1,-0.4986989400641606,0.4907385445568324,-0.0023486719734507
9288.0,9618.0,187.0,1679.0,3336,3246,4426,4311,13217.0,12742.0,4104.0,2814.0,40.4,1,-0.5096399229513816,0.0629072862816812,0.0115631712630258
27495.0,35730.0,4820.0,8270.0,1972,1846,3052,3082,9906.0,9692.0,2871.0,2835.0,40.9,1,-0.5279981680899456,-0.4370155267627679,0.0535349398786251
7764.0,16849.0,823.0,2551.0,2367,2375,2938,3188,11781.0,12233.0,1948.0,2127.0,41.3,1,-0.5571335936294197,-0.3280920936837696,0.0326503663113875
10168.0,13500.0,2658.0,4493.0,1846,1552,2673,2691,8153.0,7719.0,611.0,2122.0,41.3,1,-0.5965400351800908,-0.5335101825640487,0.0423660676981587
1574.0,9910.0,1047.0,4194.0,2510,6239,3655,9047,11406.0,27734.0,577.0,1849.0,41.4,-1,-0.4992382234306765,0.6138960926312342,-0.0678023011906886
2754.0,10134.0,787.0,4342.0,2927,6446,4265,9162,11380.0,27282.0,1267.0,3281.0,41.4,-1,-0.4744782788297005,0.7327570560877933,-0.0701821198005336
34126.0,43057.0,10968.0,16132.0,2277,2075,6089,5977,16024.0,16300.0,5187.0,5736.0,41.7,1,-0.4511049386343849,0.035472766777902,-0.0151762726989311
4859.0,12928.0,1677.0,4302.0,4032,4782,5332,6370,15456.0,17426.0,1614.0,2271.0,41.8,1,-0.4559326353121344,0.5293970863164992,-0.0119865936542636
1599.0,5609.0,1277.0,4300.0,1831,2310,2416,3130,7972.0,10340.0,1406.0,2342.0,41.8,1,-0.6057861438000195,-0.4311007532976543,0.0264833948577416
34342.0,54624.0,4308.0,7563.0,459,357,368,236,55828.0,52310.0,20695.0,40216.0,41.9,0,-0.3835419609734538,-1.204076898763663,-0.0622743037364464
4079.0,16854.0,1840.0,5493.0,1283,1596,2048,2544,5735.0,7496.0,0.0,625.0,42.0,1,-0.626709330505474,-0.6422923557473178,0.0446505247597026
2880.0,8287.0,0.0,191.0,242,156,162,90,5551.0,4438.0,1477.0,1904.0,42.2,0,-0.7068229433364103,-1.2303577513414188,0.066718503800619
195734.0,258904.0,28760.0,39109.0,261,345,494,187,331887.0,279955.0,154543.0,107116.0,42.2,-1,0.8798377932616944,-1.3964098954613475,-0.5234866007335279
128332.0,194574.0,25753.0,39699.0,203,164,218,225,140893.0,126475.0,65918.0,72410.0,42.9,-1,0.2018180275061634,-1.3409769318399571,-0.1461604165683863
2287.0,13398.0,621.0,3016.0,5692,10296,9157,16970,15181.0,28653.0,906.0,1474.0,43.2,-1,-0.3027023756670059,2.388167509010468,-0.1721060042916734
12944.0,17504.0,2008.0,3468.0,12285,12741,17924,18432,35186.0,33435.0,8045.0,13109.0,43.4,-1,0.0733632614512743,4.086024795344263,-0.1993620875544547
276100.0,389345.0,18471.0,28753.0,690,465,218,128,446960.0,380043.0,129368.0,129055.0,43.4,-1,1.4012356343114885,-1.426990443589993,-0.634469919286599
20625.0,37098.0,15692.0,29407.0,204,90,59,27,36217.0,36790.0,7783.0,22225.0,43.5,0,-0.5081834647868605,-1.280950363852973,0.0244763968626845
4960.0,9678.0,1201.0,3111.0,2847,2933,4025,4345,13256.0,13703.0,1880.0,3241.0,43.8,1,-0.5347388560559453,-0.0517267985329335,0.0055530992391588
19823.0,26755.0,3144.0,4327.0,317,219,421,239,36260.0,34543.0,11026.0,24130.0,44.4,0,-0.530713434459777,-1.2119896466726323,-0.0186982877758352
309164.0,365173.0,466207.0,591662.0,160,226,89,119,234151.0,198954.0,150647.0,123587.0,44.4,-1,1.46738661873368,-1.468643603094347,0.5040546872923756
14652.0,31202.0,12132.0,20076.0,207,225,0,31,19814.0,18316.0,13201.0,16157.0,44.8,0,-0.5751542023313903,-1.258772190717235,0.0491390674901347
835.0,4406.0,18.0,1000.0,168,164,191,94,2725.0,4290.0,377.0,1807.0,45.5,0,-0.7196494447040379,-1.2340749704404503,0.0655500112820937
20848.0,41542.0,2918.0,5370.0,8369,8439,12192,12438,33726.0,32712.0,12694.0,9072.0,45.7,-1,-0.1074565986288663,2.3250284567109394,-0.110607533658506
4632.0,13838.0,1180.0,2811.0,2730,3106,3626,4239,9746.0,11189.0,437.0,708.0,45.7,1,-0.5471596319002962,-0.0775321619849154,0.0225694397618128
