"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
2619,14340,444,1627,678,2220,1091,3131,2728,8277,370,728,5277.8
71185,113774,6435,11339,258,160,212,125,64652,59059,46118,42951,5277.9
90886,128012,6928,10085,0,175,141,71,84464,67267,25132,23380,5277.9
43268,79554,25762,38750,3858,3429,8177,7645,21821,22426,7656,6082,5277.9
84488,131093,12757,23962,218,136,155,119,84336,78130,83409,66947,5278
7936,17317,2183,4191,3310,3709,4458,4875,11245,12083,1825,2134,5278.1
381543,399740,1.46082e+06,2.08714e+06,10860,11346,14496,14298,42220,39958,11965,9512,5278.2
3537,12769,930,3842,1731,2360,2224,2730,5246,6709,0,282,5278.2
10966,21433,3359,6109,4924,5408,7123,7421,18944,18988,4697,4850,5278.2
18681,39966,8181,15477,151,265,0,0,30060,28446,16890,22991,5278.2
42212,61126,18842,29432,0,34,160,130,68861,61114,46778,48884,5278.2
21240,41407,6838,10388,276,159,0,58,29866,29044,26239,25412,5278.3
5247,15140,950,3657,3001,3625,3820,4467,10446,12523,2132,5696,5278.3
8999,12788,2507,3335,2954,2952,4161,4024,12267,11615,2082,2024,5278.3
18889,32477,3062,4454,2501,2787,6292,6266,16926,17369,3321,5880,5278.3
5698,11435,1604,3347,752,765,1243,1537,4447,5273,968,1291,5278.3
