PC1,PC2,PC3
-100893.74408651478,-15584.891056983783,-9976.648226403575
-99414.95289631952,-18833.82708589938,-11253.951884144768
-105380.67710952795,-21595.638258801948,-16360.687729442674
-122220.2050044017,-28820.80410690013,-25744.671217226576
-111424.33669237688,-34466.5434506912,-31135.215613462853
-44038.3094239989,-22228.692173011048,-3910.384118787446
-108086.05560521748,-22911.659539565288,-20213.501762529017
-122448.8312554756,-27672.739534446006,-23872.373803416554
-119478.66989625736,-30464.172512784677,-25292.594080609742
-103428.96236390076,-23571.196631701812,-14456.103641579064
-117174.57943952958,-32686.08962309939,-28438.702876118965
-74045.25145642358,-28904.376833523238,-14715.599165422898
-118086.00225575652,-30333.982889295923,-25244.58067816464
-106327.92937613401,-26929.543358899344,-18446.638120438307
-117091.1111103534,-27566.86382795086,-23471.0798348951
-122099.04040774507,-28980.507826350182,-25346.649152217564
-111878.93518986757,-24281.66694947448,-18764.398152331247
-45335.4142181107,-34523.299993081244,-16551.31765448473
-122982.03137997839,-29683.961782317987,-25391.04339428227
-118469.36090669199,-29562.803636614084,-23008.568076883854
65042.56014302872,154162.15483649966,185886.04087859695
-57909.3060951159,-25041.737571823985,-15604.608341223593
-63541.27638001203,-29734.294515328562,-9508.541062667904
-111431.8180446705,-23862.19833544685,-16131.80570756301
-68082.12521546308,-12614.809135101594,434.4827749309152
-107913.89616184068,-23828.077602511345,-15948.428212618901
-35285.155792096004,-30400.360248607227,-14377.565348124348
-121179.37752258315,-29024.582520948214,-25864.291270141817
-122942.78391020837,-28659.55453412797,-24789.405362887235
-114427.35151107192,-29135.4778190356,-22939.656419765615
-11819.844121369024,-13774.126674450095,-13481.479084325982
-121701.92485489052,-29787.362888586413,-25487.25728386178
-70702.10266778087,-31553.722831939373,-18705.325226035406
-103459.51426962366,-26098.949532326238,-15618.161426077302
-55154.39535682532,-28534.29878301735,-21204.04236301428
-88826.87132907429,-206.31481577662635,-5521.578003940962
-117405.47707636686,-27786.272677051253,-23063.515357223685
-108504.18543040016,-27429.404910945435,-21215.935491891054
-111659.0779850795,-25082.92016027319,-19073.65999935874
-33089.691087877974,-22107.73180850727,3633.3119245166454
-116712.7917743629,-27646.771830164314,-22649.968202546614
-124101.72545099143,-28415.33427352983,-25125.90119482537
-77242.49156252976,-24810.688869458863,-17161.60011419042
-44543.9206129419,-29867.299762425002,-6310.554604477631
-106441.9634831512,-27583.754302333917,-16850.170743634844
-33419.79944934335,34658.18720546417,27858.013731640654
-118020.86822488,-28002.095947094156,-24397.7354059547
-100151.68867267514,-24734.360428087024,-15492.041064405932
-116889.78341569197,-28598.578720524336,-24876.473485264367
-107285.73223310053,-25727.11628085526,-18201.17797246961
-70485.83467214426,-26997.473708781305,-13457.735903638473
-118780.06644823041,-28805.853882901152,-23713.724388728784
-109590.30138198762,-27162.8839439218,-19309.624735910413
161148.97146148456,63690.83530707043,53706.390231681515
-115434.78056255922,-27866.23430051973,-20642.866370089516
-33145.09873333019,-26046.98157726901,-18270.23969758446
-117338.10101450927,-28797.846666016863,-22815.273796162546
-110386.49830685528,-27002.61935354402,-20330.93100605237
-119237.82911059305,-29346.097132667917,-23393.48003852454
-116052.66591261986,-29554.67715063981,-23217.41910139896
-86932.94807796006,22733.354294403543,17277.40550080203
-118006.88238826266,-27032.941319988895,-23118.0455009735
-106907.74771471659,-25007.7459619746,-18368.763450281305
-70696.78962631118,-31992.645151474146,-13097.8875056449
-123185.38285298493,-29123.34164101078,-24467.72627911094
-110488.45659700214,-34654.810013471324,-30817.04291107536
294661.9886480741,23190.661846749914,169958.92582273984
