FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
3684.0,10845.0,1378.0,4079.0,897.0,2305,1510,2958,4502.0,9376.0,2350.0,3092.0,29.2,0,107.01387,1.4390256
1977.0,11958.0,489.0,3606.0,557.0,1713,936,2653,1963.0,6583.0,348.0,635.0,29.2,0,97.10561,3.195016
9704.0,17177.0,1764.0,3059.0,1774.0,1975,3875,3974,10403.0,11114.0,1967.0,4716.0,29.2,0,97.01851,-4.440465
5138.0,9761.0,1641.0,3012.0,1332.0,1903,2228,2369,6199.0,7017.0,2069.0,1794.0,29.4,0,99.788025,-12.250939
13093.0,34217.0,2468.0,5639.0,5386.0,5884,7561,8265,18792.0,20305.0,4440.0,5705.0,29.6,0,107.112,1.8120699
21678.0,34980.0,2930.0,4365.0,254.0,132,477,187,30230.0,28706.0,21931.0,21848.0,29.6,0,92.52039,-13.21545
56097.0,95335.0,24862.0,37041.0,5434.0,6188,7744,7547,17833.0,16941.0,3121.0,3132.0,30.0,0,96.03671,-10.173765
3237.0,20367.0,0.0,0.0,535.0,1862,812,2489,2154.0,6829.0,109.0,133.0,30.3,0,101.34108,-29.198795
21836.0,55287.0,5468.0,12493.0,266.0,132,270,209,33995.0,32003.0,19330.0,27687.0,30.4,0,87.83983,-54.506886
5319.0,15801.0,3228.0,7973.0,3488.0,4696,4638,6684,12112.0,15929.0,1746.0,3195.0,30.5,0,100.421135,-16.352173
2329.0,7229.0,1994.0,5675.0,1302.0,2013,1502,2411,5441.0,8054.0,1333.0,1566.0,30.6,0,87.64884,-19.612421
4198.0,13862.0,2518.0,5743.0,2310.0,3205,2906,3944,8847.0,12606.0,1473.0,2345.0,30.6,0,107.55728,-18.172382
6023.0,13034.0,1970.0,3709.0,2394.0,2159,3125,3175,10485.0,9492.0,614.0,2271.0,30.7,0,88.385254,-17.793972
12346.0,27672.0,3105.0,5286.0,6202.0,6522,9141,9061,22954.0,21744.0,3613.0,4718.0,30.8,0,92.09587,-37.837917
9751.0,16147.0,4258.0,7833.0,3784.0,4217,5612,6009,14192.0,14440.0,0.0,3788.0,30.8,0,98.829216,-33.284233
3716.0,18973.0,1002.0,4661.0,3570.0,5885,4385,7246,10713.0,17617.0,297.0,1456.0,31.0,0,105.78301,1.8429891
13279.0,25810.0,1680.0,3797.0,11393.0,10761,16964,16960,39893.0,34819.0,14830.0,11756.0,31.0,0,87.767365,-19.605143
14519.0,24508.0,3479.0,4019.0,1451.0,1698,3621,3689,9557.0,10034.0,3245.0,3695.0,31.0,0,87.8737,-54.504665
8594.0,15132.0,2796.0,3647.0,2639.0,2442,3196,3386,9023.0,9044.0,3814.0,3211.0,31.1,0,107.15095,2.4484031
16876.0,23181.0,5144.0,7585.0,4185.0,3990,5606,5331,18097.0,18597.0,3528.0,3753.0,31.2,0,102.68037,-14.469894
6569.0,18706.0,4090.0,7777.0,4686.0,5127,6289,6933,17339.0,18933.0,1129.0,2040.0,31.4,0,90.23885,-21.471931
