FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
12417.0,24795.0,2425.0,5465.0,266,214,61,53,17952.0,19101.0,6867.0,15398.0,26.0,1,-5.762532,7.9764094
7670.0,16892.0,1733.0,3233.0,2370,2880,3576,3923,10724.0,11803.0,402.0,2178.0,26.0,4,15.244549,10.340275
91169.0,123101.0,13598.0,19031.0,0,113,84,79,79216.0,70712.0,32285.0,29220.0,26.1,1,-2.6033216,1.8205338
453.0,2587.0,2557.0,9475.0,722,1158,774,1263,2790.0,4990.0,182.0,901.0,26.1,4,7.614963,15.747927
21207.0,41247.0,12381.0,16862.0,2877,2798,5118,5396,13458.0,14140.0,5687.0,4988.0,26.2,4,16.281706,6.128377
24772.0,37672.0,7166.0,11661.0,481,231,74,77,23591.0,22852.0,11715.0,17505.0,26.3,1,-5.1508055,7.5255756
1514.0,9454.0,633.0,4001.0,879,1485,1019,1878,3024.0,6464.0,57.0,183.0,26.4,4,9.331564,15.392794
6305.0,11817.0,1685.0,3087.0,162,127,146,117,6067.0,5796.0,1682.0,2302.0,26.5,0,-1.2737316,14.18998
14044.0,18374.0,3666.0,7422.0,2426,3526,3235,4528,9930.0,13713.0,3610.0,3292.0,26.5,4,14.275521,8.675563
2279.0,9879.0,1218.0,5731.0,1185,1937,1502,2437,3605.0,6080.0,33.0,331.0,26.8,4,10.244469,14.471547
8059.0,13295.0,2221.0,4367.0,3508,3839,5582,5902,14753.0,15173.0,3291.0,3141.0,27.0,4,15.816246,3.851738
4654.0,15763.0,2193.0,5403.0,3022,3239,4583,5076,13124.0,14866.0,0.0,988.0,27.1,4,16.259285,6.858702
637.0,3827.0,899.0,4217.0,142,0,165,67,4365.0,10522.0,14313.0,26448.0,27.1,0,-3.1002374,15.580926
1356.0,7634.0,767.0,4848.0,130,25,219,181,7253.0,15380.0,8635.0,15322.0,27.1,0,-2.387745,14.964772
1321190.0,1232770.0,966644.0,968152.0,5335,3203,897,718,2208940.0,1623070.0,1371000.0,1024420.0,27.1,1,3.1016061,-4.4045334
22166.0,43665.0,5105.0,11230.0,729,518,393,196,25581.0,26312.0,11354.0,20918.0,27.1,1,-4.4062414,6.966216
14533.0,27461.0,14166.0,25649.0,1502,1350,4097,4475,11451.0,11653.0,4332.0,5182.0,27.2,3,9.2723255,11.361365
6646.0,14294.0,2343.0,5451.0,1851,1907,5107,5764,13411.0,14013.0,1345.0,4296.0,27.2,6,10.872664,3.288442
58808.0,97362.0,28192.0,47535.0,475,221,0,91,67683.0,64906.0,35805.0,42537.0,27.3,1,-3.0011427,2.966222
8638.0,10843.0,4025.0,6033.0,1332,1248,1975,1910,5854.0,5747.0,1348.0,1410.0,27.4,4,10.185594,15.525983
10376.0,20525.0,451.0,2536.0,5492,5519,8000,8450,21931.0,21238.0,1254.0,3755.0,27.5,4,12.5331745,-0.71910876
1047.0,5961.0,916.0,4461.0,1085,1926,1514,2533,3641.0,6141.0,339.0,698.0,27.6,4,10.181564,14.457152
5876.0,13343.0,1189.0,3586.0,3120,3032,4839,5376,14789.0,16276.0,235.0,2342.0,27.6,4,16.362724,6.183156
7926.0,19905.0,2641.0,5333.0,2252,2329,3001,3266,10516.0,11649.0,810.0,2329.0,27.7,4,14.056947,12.425372
6605.0,16674.0,3223.0,5572.0,1480,1441,3327,3673,9297.0,9915.0,1068.0,2937.0,27.7,3,9.466801,11.889544
